"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_Quant_mean", "posterior_Quant_variance", "Posterior_Quant", "Posterior_Quant_cumsum", "Posterior_Quant_CI", "p_Posterior_Quant", "Posterior_Quant_quantile_0.05", "Posterior_Quant_quantile_0.95"
"Age", 0.01001001001001, -0.96996996996997, 9.1680524605979e-111, 0.433382295, 0.0189523150981809, 1.32202363806278e-110, "outside CI", -0.268064597507936, 9.08105866210244e-300, 9.1064867276368e-300, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 3.15585770347828e-10, 1.59425861718231e-09, "outside CI", 1.63540630795149e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.011011011011011, -0.966966966966967, 2.97906711408085e-110, 0.433382295, 0.0189523150981809, 4.30109075214363e-110, "outside CI", -0.268064597507936, 3.17132122850579e-297, 3.18042771523342e-297, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 3.80620150411363e-10, 1.97487876759367e-09, "outside CI", 1.98252353777881e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.012012012012012, -0.963963963963964, 9.65321479820006e-110, 0.433382295, 0.0189523150981809, 1.39543055503437e-109, "outside CI", -0.268064597507936, 1.08004127569233e-294, 1.08322170340756e-294, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 4.58593983776301e-10, 2.43347275136997e-09, "outside CI", 2.40095547800419e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.013013013013013, -0.960960960960961, 3.11926403329941e-109, 0.433382295, 0.0189523150981809, 4.51469458833378e-109, "outside CI", -0.268064597507936, 3.58704509524053e-292, 3.59787731227461e-292, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 5.51984829737463e-10, 2.98545758110743e-09, "outside CI", 2.90484547212198e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.014014014014014, -0.957957957957958, 1.00512665504131e-108, 0.433382295, 0.0189523150981809, 1.45659611387469e-108, "outside CI", -0.268064597507936, 1.1617954862703e-289, 1.16539336358258e-289, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 6.63724950769405e-10, 3.64918253187684e-09, "outside CI", 3.51103564314851e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.015015015015015, -0.954954954954955, 3.22981708738869e-108, 0.433382295, 0.0189523150981809, 4.68641320126339e-108, "outside CI", -0.268064597507936, 3.66960144473812e-287, 3.68125537837395e-287, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 7.97280897085888e-10, 4.44646342896273e-09, "outside CI", 4.23956036783385e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.016016016016016, -0.951951951951952, 1.03495996499168e-107, 0.433382295, 0.0189523150981809, 1.50360128511802e-107, "outside CI", -0.268064597507936, 1.13032797502828e-284, 1.13400923040665e-284, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 9.56746287539447e-10, 5.40320971650217e-09, "outside CI", 5.11422577380629e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.017017017017017, -0.948948948948949, 3.30717866835207e-107, 0.433382295, 0.0189523150981809, 4.81077995347009e-107, "outside CI", -0.268064597507936, 3.39536462360554e-282, 3.4067047159096e-282, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.14694984125093e-09, 6.5501595577531e-09, "outside CI", 6.16328945999404e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.018018018018018, -0.945945945945946, 1.05385352042393e-106, 0.433382295, 0.0189523150981809, 1.53493151577094e-106, "outside CI", -0.268064597507936, 9.94637267352025e-280, 9.98043972067935e-280, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.37358101073873e-09, 7.92374056849183e-09, "outside CI", 7.42025684018811e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.019019019019019, -0.942942942942943, 3.34881632573932e-106, 0.433382295, 0.0189523150981809, 4.88374784151026e-106, "outside CI", -0.268064597507936, 2.84144595751665e-277, 2.85142639723733e-277, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.64333590251604e-09, 9.56707647100787e-09, "outside CI", 8.92481302456442e-09, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.02002002002002, -0.93993993993994, 1.06118448260493e-105, 0.433382295, 0.0189523150981809, 1.54955926675596e-105, "outside CI", -0.268064597507936, 7.91608480900333e-275, 7.9445990729757e-275, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 1.96408654959224e-09, 1.15311630206001e-08, "outside CI", 1.0723912025386e-08, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.021021021021021, -0.936936936936937, 3.35335041575327e-105, 0.433382295, 0.0189523150981809, 4.90290968250923e-105, "outside CI", -0.268064597507936, 2.15069012599138e-272, 2.15863472506435e-272, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 2.34507702691188e-09, 1.3876240047512e-08, "outside CI", 1.28730483466128e-08, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.022022022022022, -0.933933933933934, 1.05670915716053e-104, 0.433382295, 0.0189523150981809, 1.54700012541145e-104, "outside CI", -0.268064597507936, 5.69825144110517e-270, 5.71983778835582e-270, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 2.79715038079001e-09, 1.6673390428302e-08, "outside CI", 1.54377397435102e-08, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.023023023023023, -0.930930930930931, 3.32063000981794e-104, 0.433382295, 0.0189523150981809, 4.86763013522939e-104, "outside CI", -0.268064597507936, 1.47231840711145e-267, 1.4780382448998e-267, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 3.33301088260649e-09, 2.00064013109085e-08, "outside CI", 1.84952541738257e-08, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.024024024024024, -0.927927927927928, 1.04057644559638e-103, 0.433382295, 0.0189523150981809, 1.52733945911932e-103, "outside CI", -0.268064597507936, 3.70986613796181e-265, 3.72464652041081e-265, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 3.96752672163466e-09, 2.39739280325431e-08, "outside CI", 2.21366187689426e-08, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
"Age", 0.025025025025025, -0.924924924924925, 3.25174123700218e-103, 0.433382295, 0.0189523150981809, 4.7790806961215e-103, "outside CI", -0.268064597507936, 9.11614243013306e-263, 9.15338889533716e-263, "outside CI", -0.299238381736307, -0.236890813279567, -0.410280838888763, 0.094583708843773, 4.71807892862627e-09, 2.86920069611694e-08, "outside CI", 2.64689541003726e-08, -0.565857195430965, -0.254704482346561, -0.291804437297521, 0.0157886474347407, 0, 0, "outside CI", 0, -0.317774451295212, -0.265834423299829
