"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "Hyperprior_quantile_0.05", "Hyperprior_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_Quant_mean", "posterior_Quant_variance", "Posterior_Quant", "Posterior_Quant_cumsum", "Posterior_Quant_CI", "p_Posterior_Quant", "Posterior_Quant_quantile_0.05", "Posterior_Quant_quantile_0.95"
"PerceivedExertion", 0.01001001001001, -0.96996996996997, 9.1680524605979e-111, 0.433382295, 0.0189523150981809, 1.32202363806278e-110, "outside CI", -0.268064597507936, 9.08105866210244e-300, 9.1064867276368e-300, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00691917424030168, 0.076105855929791, "inside CI", 0.512160922855283, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 2.96913498935038e-299, 2.97508095515787e-299, "outside CI", 4.78449881326645e-300, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.011011011011011, -0.966966966966967, 2.97906711408085e-110, 0.433382295, 0.0189523150981809, 4.30109075214363e-110, "outside CI", -0.268064597507936, 3.17132122850579e-297, 3.18042771523342e-297, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.0069169607859583, 0.0830228167157493, "inside CI", 0.515800232803977, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 1.4443955582615e-296, 1.44737063921666e-296, "outside CI", 2.33808859850514e-297, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.012012012012012, -0.963963963963964, 9.65321479820006e-110, 0.433382295, 0.0189523150981809, 1.39543055503437e-109, "outside CI", -0.268064597507936, 1.08004127569233e-294, 1.08322170340756e-294, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00691417191987917, 0.0899369886356284, "inside CI", 0.519438226977187, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 6.8319746871102e-294, 6.84644839350236e-294, "outside CI", 1.11095975897237e-294, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.013013013013013, -0.960960960960961, 3.11926403329941e-109, 0.433382295, 0.0189523150981809, 4.51469458833378e-109, "outside CI", -0.268064597507936, 3.58704509524053e-292, 3.59787731227461e-292, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00691080833869517, 0.0968477969743236, "inside CI", 0.523074602853579, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 3.1420294836371e-291, 3.1488759320306e-291, "outside CI", 5.13273243347009e-292, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.014014014014014, -0.957957957957958, 1.00512665504131e-108, 0.433382295, 0.0189523150981809, 1.45659611387469e-108, "outside CI", -0.268064597507936, 1.1617954862703e-289, 1.16539336358258e-289, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00690687088234594, 0.10375466785667, "inside CI", 0.526709058315992, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 1.40500595960723e-288, 1.40815483553927e-288, "outside CI", 2.30574851692471e-289, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.015015015015015, -0.954954954954955, 3.22981708738869e-108, 0.433382295, 0.0189523150981809, 4.68641320126339e-108, "outside CI", -0.268064597507936, 3.66960144473812e-287, 3.68125537837395e-287, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00690236053373026, 0.1106570283904, "inside CI", 0.530341291726737, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 6.10871663272735e-286, 6.12279818108274e-286, "outside CI", 1.00713653343825e-286, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.016016016016016, -0.951951951951952, 1.03495996499168e-107, 0.433382295, 0.0189523150981809, 1.50360128511802e-107, "outside CI", -0.268064597507936, 1.13032797502828e-284, 1.13400923040665e-284, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00689727841829714, 0.117554306808697, "inside CI", 0.533971002002701, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 2.58241298198308e-283, 2.58853578016416e-283, "outside CI", 4.27738110593688e-284, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.017017017017017, -0.948948948948949, 3.30717866835207e-107, 0.433382295, 0.0189523150981809, 4.81077995347009e-107, "outside CI", -0.268064597507936, 3.39536462360554e-282, 3.4067047159096e-282, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00689162580357781, 0.124445932612275, "inside CI", 0.537597888690209, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 1.06146411312992e-280, 1.06405264891009e-280, "outside CI", 1.76636647793624e-281, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.018018018018018, -0.945945945945946, 1.05385352042393e-106, 0.433382295, 0.0189523150981809, 1.53493151577094e-106, "outside CI", -0.268064597507936, 9.94637267352025e-280, 9.98043972067935e-280, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.00688540409865881, 0.131331336710934, "inside CI", 0.541221652039637, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 4.24217752024331e-278, 4.25281804673241e-278, "outside CI", 7.09246235918891e-279, -0.336319605549495, -0.277368121828038
"PerceivedExertion", 0.019019019019019, -0.942942942942943, 3.34881632573932e-106, 0.433382295, 0.0189523150981809, 4.88374784151026e-106, "outside CI", -0.268064597507936, 2.84144595751665e-277, 2.85142639723733e-277, "outside CI", -0.299238381736307, -0.236890813279567, -0.98, 0.328986813369645, 0.0068786148535966, 0.13820995156453, "inside CI", 0.544841993079723, -1.52113515319027, -0.438864846809732, -0.306843863688766, 0.0179199786398974, 1.64845184061824e-275, 1.65270465866497e-275, "outside CI", 2.76902394886178e-276, -0.336319605549495, -0.277368121828038
